feature,mean_abs_shap
numeric__time_in_hospital,0.34977990156878447
numeric__number_inpatient,0.17395754605776567
numeric__num_lab_procedures,0.13722382801033275
numeric__number_diagnoses,0.13663173167883516
numeric__total_prior_encounters,0.13460646680621724
nominal__diag_1_group_Respiratory,0.09141099655841446
numeric__age_midpoint,0.09046394745371798
numeric__num_medications,0.087239039760776
med_ord__insulin,0.05805517602503006
numeric__num_meds_active,0.052722734808462346
nominal__race_Caucasian,0.038399633338531976
nominal__specialty_group_Unknown,0.036276699146264475
nominal__diag_2_group_Respiratory,0.03435354156482551
nominal__gender_Male,0.030192451933366594
nominal__age_group_senior,0.02931311319346361
nominal__specialty_group_Emergency,0.028549772636897727
med_ord__metformin,0.025324782054166783
a1c_ord__a1cresult,0.02253133198907551
nominal__diabetes_med_Yes,0.021862218804234414
numeric__num_procedures,0.0196168984097533
nominal__diag_1_group_Other,0.01929034837425633
nominal__diag_1_group_Digestive,0.019080104319160834
nominal__age_band_(80-90),0.018751569125680295
numeric__number_outpatient,0.018465507495920325
nominal__admission_type_group_Emergency,0.017971784508264255
nominal__admission_type_group_Unknown,0.01506579638425355
nominal__specialty_group_Surgery,0.014421331989997918
med_ord__glipizide,0.014046261320375281
nominal__diag_1_group_Musculoskeletal,0.013810029397468239
med_ord__pioglitazone,0.013512309441153102
numeric__num_med_changes,0.01162683868867024
nominal__diag_2_group_Diabetes,0.011599500873424814
med_ord__rosiglitazone,0.010829294038882702
nominal__age_band_(70-80),0.009695696940920682
nominal__diag_2_group_Other,0.009479345421054825
nominal__diag_3_group_Genitourinary,0.009344055627986077
nominal__diag_1_group_Injury,0.009003434764481927
numeric__number_emergency,0.008712737156064427
nominal__diag_2_group_Neoplasms,0.008406732078660148
nominal__diag_1_group_Diabetes,0.007722953513624851
nominal__diag_3_group_Diabetes,0.00708329370856982
nominal__age_band_(60-70),0.0070819608217318145
nominal__diag_3_group_Digestive,0.00672656850310394
nominal__diag_2_group_Genitourinary,0.006680157213306882
nominal__diag_3_group_Musculoskeletal,0.00658619378946373
nominal__diag_3_group_Respiratory,0.0062380083264701675
nominal__specialty_group_Other,0.00622135811610236
nominal__diag_3_group_Other,0.006219448256120914
nominal__diag_1_group_Genitourinary,0.004381951813754952
nominal__age_band_(50-60),0.004317489235961329
med_ord__glyburide,0.003901543386202547
med_ord__repaglinide,0.0038643397907004145
nominal__diag_3_group_Neoplasms,0.003822945446474934
nominal__age_band_(40-50),0.003804473093377119
nominal__age_band_(30-40),0.0036266552946324104
nominal__specialty_group_Internal Medicine,0.0035058234396496838
glu_ord__max_glu_serum,0.003473764700255899
nominal__diag_1_group_Neoplasms,0.002466756720290159
med_ord__glimepiride,0.0021525087995490837
nominal__change_No,0.0020500023795160735
nominal__age_band_(20-30),0.0017387169185324612
nominal__diag_3_group_Injury,0.0014229616947993298
nominal__diag_2_group_Injury,0.0012674721357500136
nominal__diag_3_group_None,0.0011705420011419076
nominal__age_band_(90-100),0.0011617337204851942
nominal__diag_2_group_Musculoskeletal,0.0011355559008432224
nominal__race_Hispanic,0.00039264135629402656
nominal__age_band_(10-20),0.0003661891750473829
nominal__race_Asian,0.0003495796362775642
nominal__age_group_young,0.00027268477879323306
nominal__diag_2_group_Digestive,0.00016346367369818174
nominal__race_Other,0.00013786354335271962
nominal__diag_2_group_None,0.0
nominal__admission_type_group_Newborn,0.0
