feature,mean_abs_ig
numeric__time_in_hospital,0.030188868
med_ord__insulin,0.027699206
nominal__race_Caucasian,0.019230375
numeric__number_diagnoses,0.018814653
numeric__num_procedures,0.016944844
nominal__diabetes_med_Yes,0.016814677
numeric__num_lab_procedures,0.015684495
numeric__num_medications,0.013689881
numeric__number_inpatient,0.01329087
nominal__specialty_group_Unknown,0.013249476
numeric__total_prior_encounters,0.013116857
numeric__num_med_changes,0.012904869
numeric__age_midpoint,0.012480507
numeric__number_outpatient,0.012307476
numeric__num_meds_active,0.01164062
nominal__age_group_senior,0.011452449
nominal__admission_type_group_Emergency,0.011224201
nominal__change_No,0.009296397
a1c_ord__a1cresult,0.00852868
nominal__diag_2_group_Other,0.008086805
numeric__number_emergency,0.0074364655
nominal__gender_Male,0.0069805305
nominal__diag_3_group_Other,0.0052603567
nominal__diag_1_group_Respiratory,0.0046547707
nominal__age_band_[60-70),0.004282794
med_ord__metformin,0.0037776737
nominal__age_band_[80-90),0.0037608896
nominal__age_band_[70-80),0.0032990293
nominal__age_band_[50-60),0.0032946814
nominal__diag_3_group_Diabetes,0.0030320194
nominal__diag_1_group_Other,0.0026074909
nominal__specialty_group_Emergency,0.002589543
nominal__diag_1_group_Digestive,0.0024996984
med_ord__pioglitazone,0.0023130663
nominal__diag_1_group_Diabetes,0.002118197
nominal__specialty_group_Other,0.0020361745
nominal__age_band_[40-50),0.0018647253
nominal__diag_3_group_Genitourinary,0.0017576228
nominal__diag_2_group_Diabetes,0.0016788511
med_ord__glyburide,0.0016220808
med_ord__glipizide,0.0016199509
nominal__diag_2_group_Respiratory,0.0016023973
med_ord__rosiglitazone,0.0015615294
nominal__diag_2_group_Genitourinary,0.0014602059
nominal__diag_1_group_Injury,0.0013918607
nominal__diag_1_group_Musculoskeletal,0.0013791836
nominal__diag_3_group_Respiratory,0.0011802099
med_ord__glimepiride,0.0010880803
nominal__age_band_[30-40),0.0010473339
nominal__diag_1_group_Genitourinary,0.0009614423
nominal__specialty_group_Internal Medicine,0.0009049442
nominal__specialty_group_Surgery,0.0007143308
nominal__admission_type_group_Unknown,0.0007129797
nominal__age_group_young,0.00068897515
nominal__diag_1_group_Neoplasms,0.0006764659
nominal__diag_2_group_Digestive,0.000616232
nominal__diag_3_group_Musculoskeletal,0.000582682
nominal__diag_3_group_Digestive,0.0005339412
med_ord__repaglinide,0.0004936094
nominal__diag_2_group_Neoplasms,0.00048005296
nominal__diag_2_group_Injury,0.00045681754
nominal__age_band_[90-100),0.00042763617
nominal__diag_3_group_Injury,0.00042147707
glu_ord__max_glu_serum,0.00040899718
nominal__diag_3_group_Neoplasms,0.00040416946
nominal__age_band_[20-30),0.00034594155
nominal__diag_2_group_Musculoskeletal,0.00028876116
nominal__race_Hispanic,0.00025061722
nominal__race_Other,0.0001797341
nominal__diag_3_group_None,0.0001403055
nominal__race_Asian,0.000121618505
nominal__diag_2_group_None,9.6141295e-05
nominal__age_band_[10-20),5.833936e-05
nominal__admission_type_group_Newborn,2.1612252e-06
