feature,mean_abs_shap
numeric__time_in_hospital,0.3704698
numeric__number_inpatient,0.1904122
numeric__num_lab_procedures,0.1678557
numeric__total_prior_encounters,0.15940323
numeric__number_diagnoses,0.1129399
numeric__age_midpoint,0.10630693
numeric__num_medications,0.10500009
nominal__diag_1_group_Respiratory,0.09521504
numeric__num_meds_active,0.08598804
med_ord__insulin,0.053128574
nominal__specialty_group_Unknown,0.0489928
numeric__num_procedures,0.04877396
nominal__gender_Male,0.048244104
nominal__specialty_group_Emergency,0.040898036
nominal__diag_2_group_Respiratory,0.039246067
nominal__race_Caucasian,0.038998224
numeric__number_outpatient,0.038520157
nominal__diag_1_group_Other,0.036544632
nominal__diag_1_group_Digestive,0.036158938
a1c_ord__a1cresult,0.03099306
med_ord__metformin,0.028354477
nominal__admission_type_group_Unknown,0.026694354
nominal__age_band_(80-90),0.02667414
nominal__admission_type_group_Emergency,0.0246088
nominal__specialty_group_Other,0.020619722
nominal__change_No,0.020214522
med_ord__glipizide,0.020006705
med_ord__pioglitazone,0.020001126
nominal__diag_2_group_Diabetes,0.019776883
med_ord__rosiglitazone,0.019228052
nominal__diag_3_group_Genitourinary,0.018551065
nominal__diag_1_group_Musculoskeletal,0.018198667
nominal__age_band_(50-60),0.017098939
nominal__diag_2_group_Other,0.01690195
numeric__number_emergency,0.015794033
nominal__diag_3_group_Other,0.015515656
nominal__specialty_group_Surgery,0.015161023
nominal__diag_3_group_Diabetes,0.015012159
nominal__diag_2_group_Neoplasms,0.01485915
nominal__diag_1_group_Genitourinary,0.013852456
numeric__num_med_changes,0.013838493
nominal__specialty_group_Internal Medicine,0.013729032
nominal__age_band_(70-80),0.011979894
nominal__diag_1_group_Diabetes,0.01108418
nominal__diag_2_group_Genitourinary,0.010849103
nominal__diag_3_group_Digestive,0.010517091
nominal__diabetes_med_Yes,0.00991383
nominal__diag_3_group_Musculoskeletal,0.009409119
nominal__age_band_(40-50),0.009064188
nominal__age_band_(60-70),0.009054327
nominal__diag_3_group_Neoplasms,0.008966601
med_ord__glimepiride,0.008472351
nominal__diag_3_group_Respiratory,0.008317931
nominal__diag_1_group_Injury,0.008240668
nominal__diag_1_group_Neoplasms,0.008166891
med_ord__glyburide,0.007786629
nominal__age_band_(30-40),0.007501123
med_ord__repaglinide,0.007437107
nominal__diag_2_group_Digestive,0.006613909
glu_ord__max_glu_serum,0.0060952567
nominal__race_Hispanic,0.0049229725
nominal__diag_2_group_Musculoskeletal,0.0048749624
nominal__diag_3_group_Injury,0.004116619
nominal__diag_3_group_None,0.0038882126
nominal__diag_2_group_Injury,0.003771904
nominal__age_band_(20-30),0.0032488238
nominal__age_band_(10-20),0.002788521
nominal__race_Asian,0.002500634
nominal__race_Other,0.0022260454
nominal__diag_2_group_None,0.0017393334
nominal__age_group_young,0.0012584482
nominal__age_group_senior,0.0
nominal__age_band_(90-100),0.0
nominal__admission_type_group_Newborn,0.0
